,day,benchmark_wealth,bench_risky,portfolio_wealth,port_risky,pred_km
0,104,10000.0,[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714],10000.0,[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714],
1,105,9538.635770181985,[0.1761885  0.13292004 0.16468124 0.17368183 0.17470529 0.1778231 ],9104.810640267864,[-0.80960927  0.13925341  0.49594452  0.25549433  1.07499007 -0.15607305],[-0.02482446 -0.00869851  0.01029497  0.00877877  0.00631721 -0.01848325]
2,106,9413.860588731293,[0.17285649 0.15232852 0.17140099 0.17021096 0.16998892 0.16321413],9008.89937541716,[-0.75426213  0.12699144  0.45635086  0.22943323  1.09398773 -0.15250113],[-0.02381891 -0.01123063  0.01015639  0.00843131  0.00631151 -0.01991982]
3,107,9370.355459039902,[0.16623268 0.16979249 0.16706819 0.16792049 0.1667085  0.16227765],9063.548045302849,[-0.70886629  0.10577656  0.43850824  0.22868456  1.08283091 -0.14693398],[-0.02176547 -0.0148919   0.01030531  0.00930888  0.00631997 -0.02281093]
4,108,9258.045136378945,[0.16742079 0.15862377 0.17326149 0.16822731 0.17000288 0.16246376],9289.75132815077,[-0.68633788  0.09240146  0.44743767  0.22251688  1.07092721 -0.14694533],[-0.01983493 -0.01807593  0.0101081   0.00855269  0.00623075 -0.02642403]
5,109,9279.310839856746,[0.17379509 0.17060473 0.1448229  0.1784129  0.1610906  0.17127378],8260.328401617307,[-0.72473361  0.0484706   0.45116069  0.26853255  1.18606777 -0.229498  ],[-0.01800911 -0.02189805  0.01019853  0.00824216  0.0061737  -0.03091361]
6,110,9244.841001177556,[0.16865466 0.16802365 0.16657163 0.16198618 0.16629884 0.16846504],8066.304846001783,[-0.44744444 -0.03325613  0.4005651   0.23720653  1.07966567 -0.23673673],[-0.01485273 -0.02497218  0.00910171  0.00872192  0.00576289 -0.03060866]
7,111,9271.885423485686,[0.16895543 0.17003645 0.167462   0.1566989  0.16406503 0.1727822 ],7723.91862496212,[-0.37407966 -0.1129847   0.4112023   0.23359938  1.09189415 -0.24963147],[-0.01165201 -0.02753899  0.00797208  0.00829654  0.00528833 -0.02852067]
8,112,9328.607371194168,[0.16489685 0.16529779 0.16846777 0.16391079 0.16707658 0.17035022],7784.3120187070135,[-0.26786913 -0.20120373  0.39681627  0.22937777  1.04582305 -0.20294424],[-0.00822099 -0.02917726  0.00709148  0.0078403   0.00468589 -0.02301929]
9,113,9297.661274021875,[0.1668386  0.16154192 0.17049479 0.16898802 0.16846641 0.16367026],8021.752124021782,[-0.18033177 -0.29837567  0.37908066  0.22495311  1.00984864 -0.13517497],[-0.00514245 -0.03038215  0.00624831  0.00691563  0.00417119 -0.01627586]
10,114,9366.779541116312,[0.16334781 0.15927089 0.16592396 0.16864448 0.17211247 0.17070039],8479.64838123095,[-0.0618974  -0.38382875  0.35263321  0.21694951  0.96076737 -0.08462394],[-0.00233157 -0.0318344   0.00578853  0.0067216   0.00373209 -0.01191441]
11,115,9125.109241931654,[0.16439052 0.16705911 0.17359462 0.16723256 0.16714649 0.1605767 ],8379.709414882294,[ 0.05380945 -0.51500892  0.35795152  0.21462346  0.89763529 -0.0090108 ],"[-9.19820010e-05 -3.35715812e-02  5.41894345e-03  6.19864824e-03
  3.73530702e-03 -5.96401834e-03]"
12,116,9108.931165539663,[0.16614946 0.16490252 0.16577553 0.17175124 0.16380324 0.16761801],8319.125454298413,[ 0.12965221 -0.56357379  0.33744077  0.22240541  0.86213347  0.01194193],[ 0.00077106 -0.03526777  0.00495572  0.00584781  0.00343287 -0.00488293]
