,day,benchmark_wealth,bench_risky,portfolio_wealth,port_risky,pred_km
29,80,9394.445322966028,[0.16784736 0.17658062 0.1662388  0.15091408 0.1658485  0.17257065],11616.188691863186,[-0.35196272 -0.10791118  0.340006   -0.01030169  1.41174501 -0.28157541],[-0.00768616 -0.02266614  0.00571512  0.00013131  0.00023353 -0.02976255]
30,81,9535.715560619077,[0.16685267 0.17002104 0.16455219 0.16679131 0.16509844 0.16668435],11498.40794679639,[-0.23569075 -0.28684297  0.31261882 -0.01057341  1.43427487 -0.21378656],[-0.00327758 -0.02496993  0.00074599 -0.00129316 -0.00168687 -0.0199464 ]
31,82,9467.551991043221,[0.16546242 0.15931687 0.17444606 0.16224867 0.16770303 0.17082295],11841.962283373932,[-0.00369673 -0.49077149  0.21347106 -0.00992344  1.31496465 -0.02404404],[ 0.00131168 -0.02578306 -0.00395564 -0.00167567 -0.00303154 -0.00830101]
32,83,9511.98940828072,[0.16477935 0.16086851 0.16855675 0.17079823 0.16871307 0.1662841 ],12234.923288036825,[ 0.25145045 -0.6304708   0.11056937 -0.0098903   1.03045811  0.24788318],[ 0.00450657 -0.02740617 -0.00679962 -0.00348882 -0.00413309  0.00375024]
33,84,9447.116817182405,[0.16391051 0.15940332 0.16632004 0.1647917  0.17295451 0.17261992],12964.330956057693,[ 0.32284358 -0.58134386  0.04848131 -0.00916664  0.85884205  0.36034357],[ 0.00674223 -0.02919356 -0.00846844 -0.00349113 -0.00418602  0.01230966]
34,85,9408.385751609607,[0.16775929 0.16872367 0.1741148  0.16813555 0.16273894 0.15852775],12312.657920503341,[ 0.34595725 -0.63985543  0.00601433 -0.00969814  0.87947445  0.41810753],[ 0.00736844 -0.03161705 -0.01006675 -0.00422654 -0.00280505  0.02089418]
35,86,9379.403615394636,[0.16598523 0.16229089 0.16408405 0.17191296 0.16535906 0.17036781],12467.816470632699,[ 0.34031134 -0.57091586  0.00583014 -0.00984968  0.83043283  0.40419123],[ 0.00788867 -0.03314084 -0.00952039 -0.00446121 -0.00292479  0.01724044]
36,87,9319.360845278326,[0.16394486 0.16649081 0.16457978 0.16199893 0.16758057 0.17540505],12640.66466025181,[ 0.35343036 -0.58146807  0.00564257 -0.0093833   0.81486065  0.41691779],[ 0.00790149 -0.03477416 -0.00972199 -0.00319381 -0.00343878  0.01635276]
37,88,9311.077096823303,[0.16376289 0.16879703 0.16227082 0.16788185 0.16748679 0.16980062],12602.954691268398,[ 0.35374991 -0.5961435   0.00550582 -0.00947248  0.82066959  0.42569067],[ 0.00692159 -0.03593349 -0.01045937 -0.00370686 -0.00381948  0.02008151]
38,89,9362.844446426163,[0.17607021 0.16442512 0.17068805 0.15656636 0.17014674 0.16210354],13098.446124650956,[ 0.36159773 -0.55469841  0.00545592 -0.00861005  0.79563713  0.40061767],[ 0.00542601 -0.0361602  -0.01190848 -0.00368635 -0.00386209  0.02285795]
39,90,9266.891425717173,[0.16794065 0.16463314 0.16831738 0.16572392 0.16897233 0.16441257],13164.596798725535,[ 0.38050172 -0.57456197  0.005427   -0.00843246  0.79449981  0.40256589],[ 0.00647003 -0.03604551 -0.01173862 -0.00615914 -0.00266812  0.01986815]
