,day,benchmark_wealth,bench_risky,portfolio_wealth,port_risky
46,150,14380.142049820552,[0.16531352 0.16462721 0.17774119 0.15775242 0.16693183 0.16763382],5739.388824076392,[ 0.37977229  0.16968487 -0.3698769  -0.43947271  1.32778177 -0.06788931]
47,151,14435.55098637635,[0.16546025 0.16818487 0.16761222 0.1609879  0.16642462 0.17133014],5893.214341688095,[ 0.9580605   0.24965149 -0.06546609 -0.66503811 -0.27445039  0.7972426 ]
48,152,14654.625546397328,[0.16576086 0.16929584 0.16690554 0.17353519 0.16736849 0.15713409],6055.865514357487,[ 0.3387114   0.26574762  0.23664294 -0.08207558  0.71072921 -0.4697556 ]
49,153,14931.0531721581,[0.16691349 0.1659016  0.16198325 0.16616431 0.16550156 0.1735358 ],6246.901225198699,[ 0.9078625   0.26130273  0.26694739 -0.08083055 -1.10857135  0.75328928]
50,154,15540.790719564855,[0.15993618 0.17925902 0.1708583  0.16738463 0.15945845 0.16310342],5578.672381391394,[ 0.49973593 -0.84806247 -0.01635651  0.25698677  1.3285258  -0.22082952]
51,155,16051.14716065461,[0.16045846 0.18213726 0.16248262 0.16119165 0.16051204 0.17321797],5558.542138428853,[ 0.49880798 -0.12043612 -0.33066625  0.09301665  0.40225665  0.45702111]
52,156,16473.120854553646,[0.16822294 0.16954725 0.16508917 0.16650287 0.16678047 0.1638573 ],5700.684512798027,[ 1.14767331  0.73866949 -0.29785202 -0.12950082 -1.03371835  0.57472838]
53,157,15902.858771134648,[0.17327643 0.15303164 0.1713634  0.15871436 0.17080376 0.17281041],5472.719519474141,[-0.04904761  0.60817215  0.13015692 -0.86730735  1.12389151  0.05413439]
54,158,15880.601749666248,[0.17038684 0.16065243 0.17148051 0.16765365 0.16606189 0.16376469],5634.51664695295,[ 0.73341101 -0.73348969  0.19203534  0.21255745  0.6519056  -0.05641971]
55,159,16052.909285406171,[0.16712847 0.16417457 0.16922803 0.1634686  0.16659979 0.16940055],5709.064545250845,[ 1.66297186  0.08067124 -0.02725956 -0.60833861 -0.92109518  0.81305026]
56,160,16428.469220496718,[0.16176017 0.16929418 0.16597224 0.17014483 0.16392776 0.16890083],5889.410944785154,[ 0.90609959  0.07743375 -0.03729066  0.6032991  -1.36858103  0.81903924]
57,161,16681.04293900889,[0.16305247 0.16455011 0.16849018 0.16642493 0.16280663 0.17467568],6059.913170373276,[ 0.86326545  0.8634295  -0.03631357 -0.1834703  -1.10617269  0.59926159]
58,162,15846.745952554782,[0.16519242 0.16792788 0.15540422 0.17022185 0.17014065 0.17111299],5585.982509361051,[ 0.88188524  0.27607862  0.15202092  0.75100695 -1.67394748  0.61295574]
59,163,15984.238294484865,[0.16602498 0.16048442 0.15498835 0.16914558 0.16970471 0.17965196],5913.543371228763,[ 1.21808693 -0.41394751 -0.03131039  0.7262981  -1.24279716  0.74367003]
60,164,16589.324590824377,[0.16110012 0.17588214 0.17110951 0.15981481 0.16216659 0.16992682],5780.616350901351,[ 1.25030557 -0.66596841  0.39706368 -0.46662975  0.10410833  0.38112057]
61,165,16470.63535017828,[0.17041911 0.15159095 0.17146949 0.17166312 0.16819745 0.16665987],6419.638007967138,[ 0.8388055  -0.80321687  0.06404847  0.46730099  0.09394526  0.33911665]
62,166,16091.012072946103,[0.17099698 0.15059712 0.1623516  0.17582637 0.16965503 0.1705729 ],7112.247331766139,[ 0.17003919 -0.64009308  0.20684202  1.01104021  0.08434027  0.16783139]
63,167,16369.807129872352,[0.16261217 0.161217   0.1664303  0.16310847 0.16562865 0.1810034 ],6875.730488083748,[ 0.38554953  0.95050072  0.18410168 -0.3872083  -0.12134023 -0.01160339]
64,168,16231.774698811583,[0.16910484 0.16798318 0.16625959 0.16714821 0.16748775 0.16201642],6669.336417866658,[ 0.76346576  0.63445079  0.01103737 -0.39702546 -0.7726926   0.76076414]
65,169,16511.279291468745,[0.15908262 0.16623317 0.16777096 0.1685608  0.16505526 0.17329719],6480.9075582484,[ 0.54907458  0.6231978  -0.52027245  0.57483536 -0.07936469 -0.1474706 ]
66,170,16549.1422352679,[0.16770529 0.17023883 0.1678747  0.17128872 0.16782822 0.15506424],6679.629476776989,[ 0.53734028 -0.05928074 -0.41700278  0.87477295  0.197611   -0.13344072]
67,171,15807.923581710455,[0.17503121 0.16540426 0.14081624 0.17206078 0.17267817 0.17400934],6409.396408824865,[ 0.72179519 -0.02576201  0.13275852  0.26989154 -0.98843717  0.88975394]
