,day,benchmark_wealth,bench_risky,portfolio_wealth,port_risky,pred_km
20,124,11439.88020007741,[0.15807154 0.16028929 0.17921751 0.16739848 0.16153856 0.17348462],10416.818327920984,[ 1.68956535 -0.30565937 -0.00809884 -0.13807626 -1.13802891  0.90029802],"[ 7.21271404e-03  5.04729769e-03  1.03632783e-02  4.08281658e-03
 -1.43142075e-05  2.87045351e-02]"
21,125,11929.065737268735,[0.16345576 0.16614376 0.16592463 0.15945388 0.16288445 0.18213752],11769.074474711275,[ 1.52964801 -0.28127948 -0.00276932 -0.1219468  -1.02671333  0.90306091],[ 0.00663684 -0.0042126   0.00130293  0.00148598  0.00016422  0.02658903]
22,126,12535.882101832163,[0.1601851  0.16494252 0.16629036 0.16624269 0.16405685 0.17828247],12660.332045224899,[ 1.43640708 -0.2719785   0.09311168 -0.1188439  -1.08804311  0.94934675],[0.00686306 0.00526998 0.01693859 0.00561442 0.00043836 0.0278005 ]
23,127,12415.238162721289,[0.16662748 0.17124869 0.15033625 0.17393866 0.16761771 0.1702312 ],12440.218588133846,[ 1.44758121 -0.28169596  0.08466163 -0.11834676 -1.10302354  0.97082341],[ 0.00676181 -0.00161453  0.0083647   0.00460685  0.00087587  0.02986651]
24,128,12593.3445554267,[0.16438628 0.17133201 0.15775128 0.16750151 0.16301611 0.17601281],13175.451966101984,[ 1.36766429 -0.27738956  0.07675921 -0.08527247 -1.03344241  0.95168094],[ 0.0059313  -0.0012064   0.00901966  0.00247506  0.00125752  0.03096409]
25,129,12482.202619643649,[0.16595121 0.15980464 0.16448851 0.16253645 0.15741991 0.18979928],15611.399099660235,[ 1.13932994 -0.22252     0.0633805  -0.06572014 -0.81664916  0.90217887],[ 0.00607772 -0.00172398  0.00389433  0.00396778  0.00156907  0.03300559]
26,130,12426.338041581117,[0.17387666 0.1708425  0.16565445 0.16664878 0.17885544 0.14412217],13349.896399955911,[ 1.38406999 -0.26560256  0.07335436 -0.07651876 -1.03655506  0.92125202],[ 0.00592252 -0.00072608  0.00483933  0.00434231  0.00148913  0.03623306]
27,131,12534.335003245189,[0.15971999 0.16671464 0.16519166 0.16480648 0.17225524 0.17131198],12541.298917435763,[ 1.424507   -0.2853338   0.07808387 -0.03299145 -1.15056741  0.9663018 ],[0.00621563 0.00090135 0.00816854 0.00678354 0.00176749 0.03543475]
28,132,12377.62802758426,[0.16758702 0.17400101 0.16674416 0.17472489 0.16762324 0.14931968],11176.71589612598,[ 1.58732303 -0.33011506  0.08834382  0.08849579 -1.2823502   0.84830262],[0.00587435 0.00256094 0.01618768 0.00879785 0.00224649 0.03481368]
29,133,12563.06509245931,[0.15622599 0.16505078 0.1686585  0.16603104 0.16789859 0.17613511],10701.872202596136,[ 1.51537702 -0.31818401  0.10478985  0.16517001 -1.36959821  0.90244535],[0.00546908 0.00484431 0.02183165 0.01115327 0.00265166 0.03189429]
30,134,12355.287801213284,[0.17458304 0.16606299 0.16944797 0.16514558 0.17128573 0.15347469],10213.207374662292,[ 1.62157882 -0.29686139  0.10117963  0.16867836 -1.37655183  0.7819764 ],[0.00447291 0.00443327 0.0100024  0.00350203 0.00314222 0.02931222]
31,135,12481.974334093185,[0.16530021 0.16781764 0.16194503 0.17491385 0.16404853 0.16597474],10415.2726323543,[ 1.5934967  -0.27863129  0.05878463  0.17539745 -1.34247006  0.79342257],[0.00501419 0.00545269 0.00361468 0.00658798 0.00364066 0.02651469]
32,136,12830.705645342201,[0.16616621 0.16718486 0.1649416  0.16886203 0.16390352 0.16894179],11022.123418797555,[ 1.51794247 -0.27151353  0.04991789  0.17263145 -1.2825004   0.81352212],[0.00469741 0.00656156 0.0044946  0.00660336 0.0040534  0.02343514]
33,137,12738.20285364246,[0.16735228 0.17304854 0.17080246 0.16578002 0.1664637  0.156553  ],10388.595453104303,[ 1.47694574 -0.2969603   0.17232168  0.19206468 -1.34932334  0.80495154],[0.0042001  0.00881312 0.02037021 0.01328563 0.0044768  0.02139604]
34,138,13110.981815952255,[0.16304663 0.17375682 0.16995085 0.16598939 0.16399622 0.16326009],10305.86497382372,[ 1.49925575 -0.26515985  0.12692154  0.19848477 -1.37768271  0.8181805 ],[0.00426103 0.00940374 0.00465026 0.00827035 0.0048021  0.01769736]
35,139,13268.093145636678,[0.1595438  0.168844   0.16098534 0.16815423 0.16735434 0.1751183 ],10106.450033192927,[ 1.4081172  -0.19728043  0.1265252   0.20667615 -1.42771499  0.88367687],[0.00398813 0.01165725 0.01809136 0.01241675 0.0051493  0.01449404]
36,140,13429.321777166282,[0.16421371 0.17633975 0.16278726 0.16656411 0.16319433 0.16690083],10280.778335922678,[ 1.1994343  -0.03310548  0.14145816  0.27748738 -1.39114293  0.80586856],[0.0035291  0.01373668 0.01981011 0.01402696 0.0055438  0.01220586]
37,141,13195.32845365694,[0.17205309 0.15971308 0.1745993  0.17141284 0.17064887 0.15157282],9192.578094479504,[ 0.97849267  0.47369093  0.02614274  0.313643   -1.56539579  0.77342645],[0.0031892  0.0160119  0.00622022 0.00940701 0.0058123  0.01009057]
38,142,13390.808968712752,[0.16345413 0.17945248 0.16390385 0.16234523 0.15872573 0.17211858],10429.57602496145,[ 0.85853486  0.70032732 -0.00266399  0.27332515 -1.32438884  0.4948655 ],[0.00281024 0.01727396 0.00664591 0.01049399 0.0060674  0.00582707]
39,143,13793.260879758393,[0.15858663 0.16221792 0.16449757 0.16598717 0.16807115 0.18063956],10143.991835467325,[ 0.8278051   0.99059865 -0.02267791  0.28833831 -1.41467576  0.33061162],[0.00239409 0.01920835 0.00716639 0.00990821 0.00606391 0.00257503]
40,144,14053.300122628973,[0.16452399 0.16065023 0.17052852 0.17251234 0.16542805 0.16635687],10048.19141618141,[ 0.76530392  0.98226659 -0.02386989  0.30702433 -1.32519634  0.29447138],[0.00179064 0.0206955  0.01125749 0.01192644 0.00625842 0.00216755]
41,145,14516.790014560895,[0.15727346 0.16252753 0.1842211  0.16443542 0.1615147  0.17002779],10097.829993490614,[ 0.63461057  1.03408445 -0.02712284  0.31139672 -1.22643336  0.27346446],[0.00122915 0.02136733 0.012502   0.0126773  0.00647459 0.00215884]
42,146,14275.763471041046,[0.16489372 0.17342573 0.17475918 0.16729263 0.16663667 0.15299207],10072.238592864807,[ 0.55236268  1.0922442  -0.02804452  0.30822196 -1.17232271  0.24753839],[0.00047184 0.02168532 0.00933977 0.01135148 0.00664827 0.0035782 ]
43,147,14199.486098309984,[0.1646179  0.16949641 0.1675841  0.16446461 0.17053317 0.16330381],9835.89096989893,[ 0.38078078  1.1871385  -0.02872664  0.30984186 -1.02925794  0.18022345],[-0.00060199  0.02196538  0.01010375  0.01176757  0.00667888  0.00185447]
44,148,14336.235737005798,[0.16715434 0.16131952 0.17306427 0.16764912 0.17192079 0.15889196],9301.79919594432,[ 0.11586587  1.22682293 -0.03184827  0.43628315 -0.76294134  0.01581766],[-0.00188197  0.02207979  0.01214415  0.01281677  0.00677118 -0.00057541]
45,149,14340.553653200132,[0.16871638 0.16917274 0.17178927 0.161115   0.16677687 0.16242973],9286.316510692932,[-0.11722969  1.19708223 -0.03289608  0.48009716 -0.38034448 -0.14670913],[-0.00302679  0.0216494   0.0209433   0.01682201  0.00706059 -0.00390358]
46,150,14380.142049820552,[0.16531352 0.16462721 0.17774119 0.15775242 0.16693183 0.16763382],8901.50634668092,[-0.2142427   1.21064537 -0.03670312  0.47541869 -0.18946402 -0.24565422],[-0.00390861  0.02122503  0.02044178  0.01583601  0.00728813 -0.00710608]
47,151,14435.55098637635,[0.16546025 0.16818487 0.16761222 0.1609879  0.16642462 0.17133014],8808.588946451651,[-0.29583095  1.16258166 -0.01315142  0.46590946 -0.00417271 -0.31533605],[-0.0047769   0.02060218  0.02140534  0.0152979   0.00749129 -0.00994991]
48,152,14654.625546397328,[0.16576086 0.16929584 0.16690554 0.17353519 0.16736849 0.15713409],9452.926833224075,[-0.33065792  1.06968169 -0.00122931  0.4589366   0.10190218 -0.29863324],[-0.00557079  0.02005167  0.02177107  0.01418565  0.00764537 -0.01117794]
49,153,14931.0531721581,[0.16691349 0.1659016  0.16198325 0.16616431 0.16550156 0.1735358 ],9382.67542880723,[-0.41762747  1.09309301  0.01145059  0.46972364  0.24511946 -0.40175923],[-0.00607431  0.01970501  0.02210029  0.01346524  0.00786272 -0.01345486]
50,154,15540.790719564855,[0.15993618 0.17925902 0.1708583  0.16738463 0.15945845 0.16310342],10690.376364344384,[-0.37510336  1.03554666  0.01072414  0.43097936  0.25704582 -0.35919263],[-0.00611116  0.01933996  0.01853934  0.00942541  0.00808163 -0.01320735]
51,155,16051.14716065461,[0.16045846 0.18213726 0.16248262 0.16119165 0.16051204 0.17321797],11812.122804873383,[-0.3766124   1.05621339  0.0130462   0.38969453  0.28751899 -0.36986071],[-0.00615559  0.01984939  0.02238193  0.01266314  0.00822347 -0.01273551]
52,156,16473.120854553646,[0.16822294 0.16954725 0.16508917 0.16650287 0.16678047 0.1638573 ],12368.272259636275,[-0.3833538   1.03740611  0.01266888  0.38166426  0.30809807 -0.35648352],[-0.00620658  0.02108288  0.02033529  0.00911478  0.00827963 -0.00959884]
