,day,benchmark_wealth,bench_risky,portfolio_wealth,port_risky,pred_km
74,178,17260.15322402695,[0.16662509 0.16330533 0.16298924 0.17305997 0.16893083 0.16508955],8913.166384236818,[ 0.75996497 -0.63806442 -0.07295281  0.5511535  -0.15538647  0.55528522],[-0.00178931 -0.03604557 -0.04453459  0.01349268 -0.00259439  0.0445169 ]
75,179,16749.203993895502,[0.17280196 0.17019844 0.14894899 0.16665859 0.1744392  0.16695282],8766.748081783147,[ 0.77745282 -0.64291256 -0.08356485  0.64050303 -0.24261923  0.55114079],[-0.00233822 -0.03446895 -0.04299731  0.01748787 -0.00292731  0.04250318]
76,180,16667.200443221263,[0.17013857 0.17135866 0.15686716 0.16890789 0.16929473 0.16343299],8710.833169145466,[ 0.79497339 -0.66211546 -0.09624083  0.67227022 -0.24685644  0.53796913],[-0.00253165 -0.03296414 -0.04798668  0.01875976 -0.00257769  0.03449841]
77,181,17163.383285021446,[0.16070069 0.17092633 0.16789652 0.17167805 0.16249633 0.16630207],8806.75090378564,[ 0.78084082 -0.65797086 -0.1551393   0.82267905 -0.24517728  0.45476756],[-0.00208512 -0.03024681 -0.05429759  0.01941542 -0.00185873  0.02356565]
78,182,17294.94558910247,[0.16847947 0.16094316 0.1664141  0.16829023 0.16774843 0.16812461],9202.813885153024,[ 0.76123323 -0.52993894 -0.20077854  0.86758097 -0.23798353  0.33988682],[-0.00192844 -0.02543615 -0.05661135  0.0216475  -0.001112    0.01596763]
79,183,17101.91742790773,[0.17331625 0.1759284  0.1670516  0.16972025 0.16759766 0.14638584],8965.425017228412,[ 0.80354393 -0.54498861 -0.24735736  1.00031626 -0.24292235  0.23140814],"[-1.13208484e-03 -2.18716360e-02 -5.68810824e-02  2.32774904e-02
  1.23079439e-05  1.02238565e-02]"
80,184,17124.367692703545,[0.16492646 0.16454042 0.1617536  0.16857772 0.16427017 0.17593163],9137.436694623648,[ 0.78136837 -0.36187641 -0.26993703  1.09405325 -0.2352784  -0.00832978],[ 0.00045642 -0.01669432 -0.05619187  0.02392798  0.000692   -0.01125404]
81,185,17176.628285357016,[0.16022667 0.17079852 0.16490201 0.16248989 0.16291159 0.17867132],8547.858258174658,[ 0.80552826 -0.25481064 -0.3186929   1.17700073 -0.24661768 -0.16240777],[ 0.00140374 -0.01206374 -0.05561483  0.02405729  0.00074185 -0.02134927]
82,186,16302.004389368598,[0.17525571 0.17535583 0.17749918 0.16458768 0.17410945 0.13319215],8218.692933632272,[ 0.67582462 -0.10576562 -0.33507931  1.14750059 -0.2543463  -0.12813397],"[ 9.99846220e-04 -6.38617221e-03 -5.40069521e-02  2.24428634e-02
  4.99362548e-05 -1.69056745e-02]"
83,187,16172.021739873351,[0.16803124 0.16866291 0.16579036 0.16322917 0.17475348 0.15953284],8101.0340091002,[ 0.49583681  0.12467742 -0.28087689  1.13146628 -0.06859196 -0.40251166],[ 0.00058929 -0.00111641 -0.05056573  0.0184505  -0.00082618 -0.04924157]
84,188,16353.402306386886,[0.16673111 0.1661294  0.18228308 0.16645919 0.16346493 0.15493229],8259.08621956248,[ 0.25660359  0.2283989  -0.22660354  0.96123493  0.32894066 -0.54857455],[ 0.00025425  0.00372484 -0.04669731  0.01429074 -0.00010215 -0.08144042]
