,day,benchmark_wealth,bench_risky,portfolio_wealth,port_risky,pred_km
0,99,10000.0,[0.125 0.125 0.125 0.125 0.125 0.125 0.125],10000.0,[0.125 0.125 0.125 0.125 0.125 0.125 0.125],
1,100,9922.891963545013,"[0.14279569 0.14343562 0.14206625 0.14309231 0.14401901 0.14165219
 0.14293892]",9922.89196358943,"[0.14279569 0.14343562 0.14206625 0.14309231 0.14401901 0.14165219
 0.14293892]","[ 0.00143028 -0.00085133  0.00319362 -0.00125168  0.00327406 -0.00268356
  0.00113295]"
2,101,10016.56631008073,"[0.14189964 0.14182014 0.14334717 0.1425866  0.14530956 0.14290756
 0.14212933]",10016.894317729551,"[0.14183688 0.14239268 0.14255184 0.14281958 0.14648959 0.14170046
 0.14220896]","[-0.00272088 -0.00440302  0.00155586 -0.00108945 -0.0032508  -0.00703245
 -0.00205312]"
3,102,10078.429096821701,"[0.1455006  0.14404333 0.1452739  0.14012244 0.13983949 0.14150401
 0.14371622]",9626.134073394756,"[-0.49471264 -0.22402427  0.30693475  0.14667687  1.28671654 -0.16961623
  0.14802497]","[-0.00383455 -0.00033347  0.00293224  0.00196998  0.02164283 -0.00429456
 -0.00225699]"
4,103,10019.205306082305,"[0.1441349  0.14119676 0.14487129 0.141994   0.14198207 0.14231605
 0.14350492]",9255.979556912873,"[-0.42042626  1.60873891  0.32183028  0.02607567 -0.29549283 -0.3944706
  0.15374483]","[ 0.00258419  0.01320091  0.0078445  -0.00100012 -0.00619723 -0.00294758
  0.00125485]"
5,104,10008.849326597705,"[0.14375511 0.14356844 0.14337571 0.14272414 0.14124552 0.14170769
 0.14362339]",9307.56944766763,"[ 0.13016953  0.5923279   0.32088898  0.02588123 -0.58473057 -0.38874083
  0.90420377]","[ 0.00625213 -0.008171    0.01114686 -0.00579526 -0.01899086 -0.0045753
  0.00250667]"
