,day,benchmark_wealth,bench_risky,portfolio_wealth,port_risky,pred_km
0,51,10000.0,[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714],10000.0,[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714],
1,52,9910.671814012461,[0.16478816 0.17015215 0.17051612 0.16935995 0.16955405 0.15562957],9826.967256034766,[ 0.16619179 -0.41342384  0.17196854  0.74731001  0.17099829  0.1569552 ],[-0.0035661  -0.00929157 -0.00615257  0.00460606 -0.0035641  -0.00511746]
2,53,9894.697524238223,[0.16873238 0.16267978 0.16653119 0.16763493 0.16771058 0.16671115],9965.842039948157,[ 0.13044016 -0.36370137  0.1691831   0.74007833  0.16941997  0.15457981],[-0.00377194 -0.00919315 -0.00382501  0.00667479 -0.00203488 -0.00851515]
3,54,9834.03337575744,[0.16550945 0.16426688 0.16821808 0.16853249 0.1685928  0.16488031],10049.731178169992,[ 0.12767093 -0.35330747  0.16830132  0.74627629  0.16891239  0.14214654],[-0.00377021 -0.01018175 -0.00171625  0.00842125 -0.00052506 -0.01117043]
4,55,9661.821932798037,[0.16177805 0.16816647 0.15874094 0.16875741 0.16972537 0.17283175],9900.986185804068,[ 0.12359174 -0.3555249   0.15986533  0.75610136  0.17154816  0.14441831],[-0.00392613 -0.01247039  0.00030729  0.009904    0.00092934 -0.01397121]
5,56,9821.581948710045,[0.16631165 0.16850647 0.16262953 0.1666336  0.1648609  0.17105785],10002.104442895481,[ 0.12411623 -0.36174545  0.15698935  0.76304806  0.1707734   0.14681841],"[-4.64255999e-03 -1.06989102e-02  8.35460741e-05  1.08428691e-02
  2.15983079e-03 -1.47338100e-02]"
6,57,9909.200739349484,[0.1627907  0.16832571 0.1637552  0.16953539 0.16584061 0.1697524 ],10153.209562902937,[ 0.10603674 -0.36314244  0.15331645  0.77915989  0.17599477  0.1486346 ],[-0.0050439  -0.01117385 -0.00028358  0.01176257  0.00327397 -0.01249448]
7,58,10257.740765849347,[0.16288587 0.16316241 0.16214416 0.1722727  0.16563316 0.1739017 ],10895.293613188283,[-0.24151127 -0.34297223  0.14389706  0.81504068  0.47592717  0.14961859],[-0.00553103 -0.0112708  -0.00076192  0.01286372  0.00421518 -0.00904477]
8,59,10272.338622164067,[0.16857412 0.1654433  0.16095584 0.16690298 0.16486162 0.17326214],10757.227677986557,[-0.74026457 -0.38501616  0.1409684   0.93956804  0.81062223  0.23412208],[-0.00582188 -0.01511539 -0.00104235  0.0148638   0.00558143 -0.00224178]
9,60,10018.826227830936,[0.16466541 0.15046323 0.17764041 0.16728775 0.1720447  0.16789849],11421.12462341712,[-0.82279444 -0.31932842  0.1380358   0.88219879  0.76875515  0.35313312],[-0.00581745 -0.01227094 -0.00171807  0.01639968  0.0063624   0.00492849]
10,61,10015.212730520212,[0.16875755 0.16461756 0.1650566  0.15952183 0.1675709  0.17447555],11166.611937240243,[-0.86162408 -0.38678678  0.13979314  0.87002444  0.79040172  0.44819156],[-0.00625906 -0.01423177 -0.00154028  0.01686568  0.00703225  0.00956462]
