,day,benchmark_wealth,bench_risky,portfolio_wealth,port_risky,pred_km
0,51,10000.0,[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714],10000.0,[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714],
1,52,9910.671814012461,[0.16478816 0.17015215 0.17051612 0.16935995 0.16955405 0.15562957],10045.70555301898,[-1.13551392 -0.00323842  0.38896805  1.06407476  0.43459864  0.25111089],[-0.01912129 -0.01283966  0.00468573  0.01345533 -0.00548313  0.0049415 ]
2,53,9894.697524238223,[0.16873238 0.16267978 0.16653119 0.16763493 0.16771058 0.16671115],9970.469170197499,[-1.17813011 -0.00318009  0.41629582  1.06504892  0.43996745  0.25999801],[-0.01624979 -0.01054098  0.01085458  0.01408833 -0.00459193  0.0019504 ]
3,54,9834.03337575744,[0.16550945 0.16426688 0.16821808 0.16853249 0.1685928  0.16488031],10021.984833102235,[-0.75002344 -0.00309919 -0.13783517  1.06491116  0.44006796  0.38597868],[-0.00620897 -0.00703076 -0.02347893  0.00521368 -0.00622568 -0.00107205]
4,55,9661.821932798037,[0.16177805 0.16816647 0.15874094 0.16875741 0.16972537 0.17283175],10478.38266660347,[-0.68415694 -0.02041405 -0.12337021  1.0306611   0.42114128  0.37613881],[-0.00635977 -0.00769344 -0.00180816  0.01109004 -0.00575925 -0.00426801]
5,56,9821.581948710045,[0.16631165 0.16850647 0.16262953 0.1666336  0.1648609  0.17105785],10596.102297020789,[-0.89286878 -0.20688057  0.22303631  1.09097849  0.41881574  0.36691881],[-0.00655091 -0.00973148  0.00418631  0.01276299 -0.00424191 -0.00640232]
6,57,9909.200739349484,[0.1627907  0.16832571 0.1637552  0.16953539 0.16584061 0.1697524 ],11102.654506732095,[-0.84510503 -0.20119859  0.21102088  1.07411736  0.40129952  0.35986586],[-0.00719183 -0.00872899 -0.00207767  0.01175169 -0.00351753 -0.00657542]
7,58,10257.740765849347,[0.16288587 0.16316241 0.16214416 0.1722727  0.16563316 0.1739017 ],12270.2476753226,[-0.78547378 -0.18450831  0.19230814  1.05235637  0.37358276  0.35173483],[-0.00910214 -0.00437264 -0.00578478  0.01250301 -0.0029155  -0.00570511]
8,59,10272.338622164067,[0.16857412 0.1654433  0.16095584 0.16690298 0.16486162 0.17326214],12252.703225282146,[-0.7968353  -0.08614748 -0.33967651  0.70054346  1.15537014  0.36674569],[-0.01882994 -0.0054195  -0.03270923 -0.00353792 -0.00236536 -0.00225909]
9,60,10018.826227830936,[0.16466541 0.15046323 0.17764041 0.16728775 0.1720447  0.16789849],12410.96378229182,[-0.8036341  -0.07489211 -0.34863454  0.7229005   1.14848566  0.35577459],[-0.00892582  0.00274768 -0.0109205   0.01440932 -0.00119494  0.00099636]
10,61,10015.212730520212,[0.16875755 0.16461756 0.1650566  0.15952183 0.1675709  0.17447555],12247.464218127232,[-0.82443171 -0.07494547 -0.36908104  0.70102219  1.16992314  0.39751289],[-0.01450917 -0.01200693 -0.02681013  0.0033954  -0.00089601  0.00291641]
11,62,10081.65252116409,[0.14659426 0.16842501 0.18081538 0.16186636 0.16381113 0.17848786],13090.485327802555,[-0.71198263 -0.14474291 -0.31008758  0.6827547   1.08308089  0.40097754],[-0.01037215 -0.01023693 -0.00844556  0.01614002 -0.00048462  0.00506166]
12,63,10029.828384309338,[0.16947864 0.16592221 0.16724335 0.16587638 0.17020106 0.16127836],12921.286838732643,[-0.94909379 -0.19813152 -0.08508054  0.68506644  1.20127988  0.34595953],[-0.03557937 -0.02162761 -0.00351011  0.00741206  0.0001517   0.00863916]
13,64,10315.498413751384,[0.16844742 0.17752061 0.1686359  0.16603798 0.16485048 0.15450761],12396.7902009184,[-1.0283668  -0.25902771 -0.09229004  0.76202719  1.27382265  0.34383471],[-0.01456404 -0.01525343 -0.00265344  0.01160405  0.00048418  0.00999545]
14,65,10298.021160305012,[0.16801951 0.16107859 0.16797527 0.1698412  0.16876269 0.16432275],12616.303195119883,[-1.02534445 -0.13691127 -0.03823676  0.6677138   1.26543772  0.26734095],[-0.03375366 -0.01032494  0.00372249  0.00912632  0.00088669  0.01006512]
15,66,10333.10068139065,[0.16164783 0.17666806 0.16599738 0.16577938 0.16603252 0.16387483],12741.293290814774,[-0.98814554 -0.1916367  -0.03784108  0.68845421  1.25260802  0.27656109],[-0.01152764 -0.01056426  0.00441213  0.00980612  0.00159333  0.00982864]
16,67,10278.048185297244,[0.16257889 0.15447529 0.17168909 0.15924733 0.1701242  0.1818852 ],13359.678800152946,[-0.98350663 -0.12166459 -0.03612575  0.64192305  1.21303495  0.28633898],[-0.0147105   0.0003204   0.0043233   0.00988716  0.0020621   0.00910123]
17,68,10247.375805209927,[0.16557712 0.16826197 0.168013   0.16639022 0.16804413 0.16371357],13377.24537440703,[-0.91325531 -0.20494511 -0.03626982  0.4238271   1.33999159  0.39065155],[-0.0602953  -0.05593976  0.00078776  0.01036756  0.00261378  0.00993912]
18,69,10225.145971965701,[0.16749412 0.16695914 0.17306245 0.17407848 0.16522913 0.15317668],13097.633071488463,[-0.87984418 -0.30309337 -0.03377543  0.58643992  1.35390884  0.27636422],[-0.02064621 -0.0301512   0.00302888  0.00847277  0.00314885  0.01005883]
19,70,10299.815520208223,[0.16648632 0.16158492 0.17019646 0.175571   0.1629317  0.1632296 ],12584.94364459699,[-0.57753004 -0.19838051  0.31188373 -0.24781068  1.60178867  0.11004883],[-0.01546611 -0.00612739  0.01182723 -0.02695675  0.00350781  0.00826285]
20,71,10301.952625587306,[0.16553402 0.17115594 0.1616601  0.1617459  0.16896964 0.1709344 ],12672.649099007092,[-0.97116719 -0.20238118  0.12431959  0.32388824  1.61321777  0.11212277],[-0.01475133 -0.00585561  0.0046529   0.00794807  0.00362685  0.00627971]
21,72,9912.394411795798,[0.15172945 0.17287367 0.18031463 0.16467929 0.1703014  0.16010156],13447.847736915406,[-0.84241179 -0.13411146  0.05921004  0.6116726   1.20797035  0.09767025],[-0.01431971 -0.00311902  0.00289083  0.02116573  0.00384763  0.0049683 ]
22,73,9978.485420436837,[0.16992364 0.16688826 0.16394129 0.1657031  0.16469272 0.168851  ],13135.127824895433,[-0.67976649 -0.42640875  0.00617563  0.62691326  1.13057608  0.34251027],[-0.01800668 -0.05205107  0.0035943   0.02538706  0.00382429  0.0022326 ]
23,74,10203.29638327721,[0.16746748 0.16995042 0.16476033 0.16672594 0.16855664 0.1625392 ],13322.742085631093,[-0.72528543 -0.43836993  0.04186413  0.63227067  1.15275775  0.3367628 ],"[-1.83348643e-02 -1.71126762e-02  5.15695614e-03  6.94574045e-03
  3.71897429e-03  8.54331040e-05]"
24,75,9682.456344582894,[0.17563515 0.13481415 0.16478484 0.17343466 0.17643272 0.17489848],13793.195669049488,[-0.91966678 -0.1439464   0.04264991  0.62821248  1.11858363  0.27416715],[-0.02532327 -0.00909931  0.009649    0.01235159  0.00393186 -0.0019466 ]
25,76,9853.270092795346,[0.17121694 0.16440611 0.16598645 0.16824012 0.16426283 0.16588756],13506.584987166636,[-1.10326298 -0.1678599   0.07152442  0.76981689  1.14609327  0.28368831],[-0.01843139 -0.01582254  0.00575305  0.00765044  0.00413889 -0.00387388]
26,77,9548.779819149071,[0.16870227 0.15503609 0.1742726  0.17095557 0.17262578 0.1584077 ],13196.566918464701,[-0.63084807 -0.06456275 -0.00708767  0.92477598  0.42161291  0.35610959],[-0.020906   -0.01367431  0.01031644  0.08941664  0.00431199 -0.00529569]
27,78,9456.41230035908,[0.16469308 0.16299754 0.17189385 0.16814354 0.16743872 0.16483327],13295.441402331362,[-0.78368425 -0.06207798 -0.00718684  1.1255037   0.4164322   0.31101316],[-0.01350477 -0.01138613  0.00583388  0.02409616  0.00446675 -0.0083812 ]
28,79,9471.256960758807,[0.17786883 0.16692151 0.14351499 0.18108957 0.16170466 0.16890043],13316.31256427029,[0.17786883 0.16692151 0.14351499 0.18108957 0.16170466 0.16890043],"[ 1.37883099e+00  2.26412192e+00  1.05652433e-02  2.07976193e-03
  4.51140512e-03 -1.17238437e-02]"
29,80,9394.445322966028,[0.16784736 0.17658062 0.1662388  0.15091408 0.1658485  0.17257065],11930.37740554834,[-0.06000376 -0.61802827  0.15852459  0.63799273  0.64547248  0.23604224],[-0.00786899 -0.04155547  0.00275701  0.01865061  0.00423107 -0.01414761]
30,81,9535.715560619077,[0.16685267 0.17002104 0.16455219 0.16679131 0.16509844 0.16668435],11872.659649601046,[-0.23480414 -0.51082541  0.15966646  0.65133218  0.68873126  0.24589965],[-0.01398231 -0.04330758  0.00268126  0.01616416  0.0038535  -0.01537512]
31,82,9467.551991043221,[0.16546242 0.15931687 0.17444606 0.16224867 0.16770303 0.17082295],11787.791046198252,[0.16546242 0.15931687 0.17444606 0.16224867 0.16770303 0.17082295],[-0.00372594  0.15545865  0.00596394 -0.00268941  0.00357019 -0.01581285]
32,83,9511.98940828072,[0.16477935 0.16086851 0.16855675 0.17079823 0.16871307 0.1662841 ],12240.218990516254,[-0.18161715 -0.5319978   0.17072291  0.26966209  1.10830687  0.16492308],[-0.01403755 -0.03432558 -0.003994    0.00528695  0.00330383 -0.01523678]
33,84,9447.116817182405,[0.16391051 0.15940332 0.16632004 0.1647917  0.17295451 0.17261992],13028.189111390882,[-0.16667981 -0.50004842  0.15898485  0.26599484  1.08234731  0.15940124],[-0.01444947 -0.03835184 -0.00124881  0.00608597  0.00318181 -0.014628  ]
34,85,9408.385751609607,[0.16775929 0.16872367 0.1741148  0.16813555 0.16273894 0.15852775],12974.776450519545,[0.16775929 0.16872367 0.1741148  0.16813555 0.16273894 0.15852775],[-0.01798104  0.16860435  0.00386174 -0.00360911  0.00326888 -0.01324302]
35,86,9379.403615394636,[0.16598523 0.16229089 0.16408405 0.17191296 0.16535906 0.17036781],12976.90928955506,[-0.06651752 -0.56573878  0.1708813   0.17798617  1.12184689  0.16154195],[-0.01618514 -0.04664322 -0.00088739  0.00349145  0.0031327  -0.01316421]
36,87,9319.360845278326,[0.16394486 0.16649081 0.16457978 0.16199893 0.16758057 0.17540505],13043.256597608599,[-0.14365675 -0.55871766  0.15463698  0.1195098   1.26014858  0.16807905],[-0.0164836  -0.03542558 -0.00791972 -0.00932832  0.0029275  -0.0123492 ]
37,88,9311.077096823303,[0.16376289 0.16879703 0.16227082 0.16788185 0.16748679 0.16980062],13059.280052106775,[-0.17472696 -0.56471705  0.1502545   0.1545024   1.26379321  0.1708939 ],[-0.01567866 -0.03979037 -0.00025231  0.00432347  0.00272439 -0.01058497]
38,89,9362.844446426163,[0.17607021 0.16442512 0.17068805 0.15656636 0.17014674 0.16210354],13312.388495569576,[-0.1820958  -0.55025337  0.15180454  0.14379001  1.2727813   0.16397332],[-0.0120984  -0.03548046  0.00384924  0.00360512  0.00257636 -0.00840961]
39,90,9266.891425717173,[0.16794065 0.16463314 0.16831738 0.16572392 0.16897233 0.16441257],13355.204102882073,[-0.18105568 -0.51306136  0.04746477  0.14108158  1.15116935  0.35440135],[-0.01534223 -0.08725549 -0.00439769  0.00171484  0.002556   -0.00695363]
40,91,9067.241567902653,[0.16598414 0.16874404 0.16641793 0.16619191 0.17056849 0.16209349],13201.794679393432,[-0.14629141 -0.5472599   0.04691418  0.13925564  1.16619361  0.34118788],[-0.01442203 -0.07894652 -0.0095231  -0.00992428  0.00255608 -0.00610677]
41,92,9095.45737634031,[0.16255051 0.16623716 0.16101398 0.16738659 0.16895583 0.17385594],13635.811806913816,[-0.13857525 -0.57680676  0.10254547  0.17343195  1.14821267  0.29119191],[-0.01358856 -0.0379747   0.00269754  0.00198516  0.00254121 -0.00658024]
42,93,9021.06097977399,[0.16635189 0.16457687 0.16768053 0.1666187  0.16903181 0.1657402 ],13837.73406089698,[-0.1351942  -0.57584293  0.10084249  0.16947181  1.15768022  0.2830426 ],[-0.01224535 -0.0290818  -0.00898182 -0.00917546  0.00262113 -0.00569216]
43,94,9214.746269967398,[0.16023667 0.16218158 0.16363548 0.16801747 0.16450961 0.1814192 ],14562.96053770703,[-0.12616152 -0.55160609  0.07486359  0.16582839  1.13802686  0.29904877],[-0.01239896 -0.04844718 -0.01124157 -0.00363367  0.00270268 -0.00512628]
44,95,9195.143489139184,[0.16667465 0.17111722 0.16309679 0.16673866 0.16512415 0.16724853],14130.204301792786,[-0.12977586 -0.62968422  0.09518323  0.19586188  1.15973975  0.30867522],[-0.01185119 -0.03970341  0.00115209  0.00097794  0.00281316 -0.00187045]
45,96,9312.242386913591,[0.16286173 0.1657227  0.16003907 0.16949807 0.16601271 0.17586572],14574.087830593518,[-0.12452291 -0.57480983  0.06232709  0.19559195  1.13432677  0.30708692],[-0.01151881 -0.04244087 -0.00857267  0.00026241  0.00283015  0.0009964 ]
46,97,9518.48120737193,[0.15771705 0.16379684 0.17305345 0.16906148 0.16455169 0.17181949],15081.334589634178,[-0.11640893 -0.5568537   0.00534223  0.16501128  1.19016284  0.31274628],[-0.01073094 -0.03942737 -0.01537394 -0.01268339  0.00288197  0.00526232]
47,98,9530.165643847366,[0.16784585 0.1679856  0.16547566 0.16613952 0.16775624 0.16479712],15073.141051490726,[-0.11745661 -0.58108191  0.00531419  0.18316191  1.20023321  0.30982921],[-0.01087589 -0.04662185 -0.00936264  0.00023832  0.00296609  0.01004772]
48,99,9513.565283506285,[0.1715648  0.16272488 0.1685068  0.16646979 0.16801651 0.16271722],15233.121390962078,[-0.12221243 -0.56042287  0.00530737  0.18071539  1.19520431  0.30140824],[-0.0102977  -0.02748395 -0.00589125 -0.004518    0.00306821  0.01385512]
49,100,9422.97551951589,[0.16647551 0.16567291 0.16611999 0.16866106 0.16825534 0.16481518],15286.065298118336,[-0.12050084 -0.55101677 -0.02894629  0.18052374  1.19106467  0.3288755 ],[-0.0096325  -0.04065644 -0.01311458 -0.00094614  0.00318285  0.01574182]
50,101,9531.016217832861,[0.16821403 0.17168636 0.1643864  0.16584169 0.16283324 0.16703827],14770.154160016706,[-0.12731539 -0.59419534 -0.05552869  0.18379283  1.21816752  0.37507908],[-0.00886047 -0.03489859 -0.01304667 -0.00954223  0.00327445  0.01661673]
51,102,9761.40593780682,[0.16424366 0.16066192 0.16310288 0.16981938 0.16208943 0.18008273],15432.759200064946,[-0.12298879 -0.51345513 -0.05326907  0.15204805  1.16133553  0.37632942],[-0.00792309 -0.0352684  -0.01214256 -0.00852009  0.0032681   0.01720599]
