,day,benchmark_wealth,bench_risky,portfolio_wealth,port_risky,pred_km
0,104,10000.0,[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714],10000.0,[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714],
1,105,9538.635770181985,[0.1761885  0.13292004 0.16468124 0.17368183 0.17470529 0.1778231 ],8456.72296156378,[-0.55368986  0.35996767  0.67344747  0.21250335  0.77964834 -0.47187697],[-0.02226964  0.0019235   0.01681088  0.00738161  0.00512058 -0.03902784]
2,106,9413.860588731293,[0.17285649 0.15232852 0.17140099 0.17021096 0.16998892 0.16321413],8324.38407531054,[-0.57595754  0.25172946  0.60463255  0.21766646  0.79754936 -0.29562029],[-0.0198206  -0.00503402  0.0151957   0.00661718  0.00497438 -0.03144542]
3,107,9370.355459039902,[0.16623268 0.16979249 0.16706819 0.16792049 0.1667085  0.16227765],8411.106292767508,[-0.52474199  0.17323989  0.59717447  0.21607829  0.82185109 -0.28360175],[-0.01581069 -0.01397248  0.01398029  0.0059598   0.0048964  -0.02821233]
4,108,9258.045136378945,[0.16742079 0.15862377 0.17326149 0.16822731 0.17000288 0.16246376],8700.492260427216,[-0.42604905  0.00684039  0.59299091  0.20833027  0.88195206 -0.26406459],[-0.01223718 -0.02110749  0.01264354  0.00534005  0.00460807 -0.02727473]
5,109,9279.310839856746,[0.17379509 0.17060473 0.1448229  0.1784129  0.1610906  0.17127378],7707.4538541236525,[-0.32105949 -0.17021002  0.58137849  0.25235532  0.96460394 -0.30706823],[-0.00912689 -0.02936271  0.01193051  0.00467574  0.00443852 -0.02881984]
6,110,9244.841001177556,[0.16865466 0.16802365 0.16657163 0.16198618 0.16629884 0.16846504],7545.1587058003115,[-0.04610221 -0.36648813  0.42192349  0.20882556  0.95818144 -0.17634015],[-0.0039202  -0.03513552  0.00778269  0.00495339  0.0034237  -0.02194319]
7,111,9271.885423485686,[0.16895543 0.17003645 0.167462   0.1566989  0.16406503 0.1727822 ],7281.046415567985,[ 0.20684352 -0.57872969  0.34828992  0.20406364  0.86754368 -0.04801106],[ 0.00094688 -0.03901283  0.00375205  0.00466939  0.00231799 -0.01315161]
8,112,9328.607371194168,[0.16489685 0.16529779 0.16846777 0.16391079 0.16707658 0.17035022],7334.89857348624,[ 0.42283144 -0.67508371  0.23178927  0.19132219  0.66889572  0.1602451 ],"[ 5.74469548e-03 -3.99780515e-02  7.29437264e-05  3.63478677e-03
  9.67273532e-04  7.27111822e-04]"
9,113,9297.661274021875,[0.1668386  0.16154192 0.17049479 0.16898802 0.16846641 0.16367026],7490.946091072832,[ 0.52755947 -0.6603524   0.13976243  0.17519661  0.50744798  0.31038591],"[ 9.21399559e-03 -3.96536855e-02 -2.83573448e-03  2.50071028e-03
 -3.69921825e-05  1.45776996e-02]"
